title,rating,date,categorie,comments,product_option
🔥 Mini shoulder bag (M-688),4,2019-05-22,Bag,Give 4 stars because order at the price 37 but today 29 baht sorry,Pink:
🔥 Mini shoulder bag (M-688),5,2019-07-18,Bag,Ordered at a discount of 10 baht per piece. It is worth noting that the leaves are very small. Adjustable cable length Suitable for wearing short bags and phones only.,Black
🔥 Mini shoulder bag (M-688),5,2019-07-02,Bag,"Small, cute, compact, good But the sash looks like a little fragile Have to remind myself that do not put too many things to be sure How to put a sash",Tau
🔥 Mini shoulder bag (M-688),1,2018-12-15,Bag,"The size is not as large as it is down. The stitching was wrong. The bag line is contemplated. No, why are you like this? Lost 8 orders",Black
🔥 Mini shoulder bag (M-688),1,2019-07-24,Bag,"The product is compared to the price. Okay. Send it slowly. But the bad thing is that the shop sent the wrong color. And the item was not fully received at the shop Told to return money, not responsible for anything, very bad Do not send your intention to cheat and look back as many unethical victims.",Black
🔥 Mini shoulder bag (M-688),4,2019-04-23,Bag,Beautiful work Sewing Good compact Suitable for this price I go to travel or go somewhere. I like it very much.,Black
🔥 Mini shoulder bag (M-688),4,2019-07-18,Bag,Worth the price ordered When holding the bag Send faster than you think Well wrapped Worth the price Compound mm mm.,Red
🔥 Mini shoulder bag (M-688),5,2019-08-10,Bag,This bag is like a shoulder bag. Colorful shapes But regret it when shipping the stuffing in the bag The line is wrinkled and broken almost the entire line. So I reduced the beauty down a bit. Bought more expensive than the price seen later But overall I like it,pink
🔥 Mini shoulder bag (M-688),4,2018-12-19,Bag,"Very nice, but a little crumbling.",pink
🔥 Mini shoulder bag (M-688),5,2019-08-13,Bag,"Beautiful, cheap, very worthwhile. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, worth it. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍 👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍👍👍👍👍 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍",Red
🔥 Mini shoulder bag (M-688),5,2019-08-17,Bag,"A cute seller, very worthwhile. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it.",pink
🔥 Mini shoulder bag (M-688),5,2019-08-19,Bag,🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸🌹🌹🌹🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸 🍸🌹🌹🍸🌹🌹🍸 🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸🌹🌹🌹🍸🍸 🍸🍸🍸🌹🍸🍸🍸 🍸🍸 🍸🎁😊❤☺🎁🍸 🍸🌹🌹🍸🌹🌹🍸 🌹🌹🌹🌹🌹🌹🌹 🌹🌹🌹🌹🌹🌹🌹 🍸🌹🌹🌹🌹🌹🍸 🍸🍸,Gray
🔥 Mini shoulder bag (M-688),5,2019-08-14,Bag,"55555 Cute little leaves. Should be able to wear new cosmetics, mobile phones Buy for daughter How much is 8 baht, free delivery fee, if worth it? Too bad to order pink, think that the daughter will like the gray color around her face.",Gray
🔥 Mini shoulder bag (M-688),4,2019-08-03,Bag,"Product quality is almost good. But the leaves are a little small If compared to green, the wallet that is put in the black leaf again can be seen that the bag size is quite small. But if compared with the price, it can be accepted Suitable for use with children",brown
🔥 Mini shoulder bag (M-688),5,2019-07-18,Bag,"The product size is the same as the palm, but can be purchased at a price of 10 baht. Haven't tried using it, how long? But overall okay",brown
🔥 Mini shoulder bag (M-688),5,2019-08-16,Bag,"😚🎉 ♥ ️ Cute value bag Ordered brown to get black Delivery is a bit slow About a week But worth it for the price of just 8 baht ♥ ️ tell me, the quality of the leather bag is good",brown
🔥 Mini shoulder bag (M-688),4,2019-08-17,Bag,"The product is not fully contactable. Not informed before delivery. Very slow. All beautiful bags. But helping to take responsibility for missing goods, not quietly disappearing.",brown
🔥 Mini shoulder bag (M-688),5,2019-06-23,Bag,"Cute, cute",Gray
🔥 Mini shoulder bag (M-688),3,2019-08-17,Bag,"The product is not fully contactable. Not informed before delivery. Very slow. All beautiful bags. But helping to take responsibility for missing goods, not quietly disappearing.",Gray
🔥 Mini shoulder bag (M-688),4,2019-08-15,Bag,Received the product Pretty cute But would like to deduct 1 star because I sent the wrong color,Gray
🔥 Mini shoulder bag (M-688),4,2019-07-26,Bag,"Compact, suitable for wearing phones Not carrying a lot of bags, broken 1 star",Black
🔥 Mini shoulder bag (M-688),3,2019-07-05,Bag,This quality cell product is medium in quality. The price is not too bad to be in the shape that is not beautiful.,pink
🔥 Mini shoulder bag (M-688),5,2019-07-04,Bag,The product is very good. I am still to use it but I'm very impressed with the packaging and delivery time. It arrived early and I will recommend the product. It is a good product and I hope it does it all. I recommend.,Red
🔥 Mini shoulder bag (M-688),5,2019-04-27,Bag,"Good product, cheap price, to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price, to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize again. Good product, cheap price to subsidize. None of it was a good product to subsidize another good product at a good price.",Red
🔥 Mini shoulder bag (M-688),1,2019-08-13,Bag,"It's cute. But cut off the dam, not ok Almost every thread dropped Do not wear heavy stuff. It's a shame. Beautiful but not resistant. Definitely sewing like this.",brown
🔥 Mini shoulder bag (M-688),4,2019-04-06,Bag,"Fair product quality Good value with the price Very fast delivery Ordered a lot of things, there was no mistake.",Black
🔥 Mini shoulder bag (M-688),5,2019-04-03,Bag,It's pretty cute. {~ {~ {~ {{{{{{{{{{{[{ {{β {β {β} β {} {{{} {}}} ~} {~} ^} ~} ~} ~} ~ } ~ <~} ~} ~ {~} ^ {~} <~ ^ <<{^ <~ β>} ^> • ^> ^ <• ^> • ^ ~> • ^ •> ^> • > • ^> • ^ •> ^ `& ^ •> ^> • ^> • ^ •> ^ •> ^> • ^> • ^ •> ^> ^ ®>` ®> `^> ^> • ^ > • ^^> •> `^` &,Black
🔥 Mini shoulder bag (M-688),4,2019-06-28,Bag,"The product meets the image ... How long does delivery last? Good service, fast delivery, overall like, worth the price. Find this price according to no market.",brown
🔥 Mini shoulder bag (M-688),5,2019-04-10,Bag,This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good Product This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good This product is very good Product,Gray
🔥 Mini shoulder bag (M-688),5,2019-06-28,Bag,"Beautiful, good value, good delivery, Dokke's package, beautiful, good value, good delivery, Dokke's delivery, beautiful, good value, good delivery, Dokke's delivery, beautiful, good value, good delivery. DDK's package is pretty good, good value, good delivery, good deal of DDK, good, good value, good package delivery, DDK's, beautiful, good value. Worth it",Black
🔥 Mini shoulder bag (M-688),5,2019-07-25,Bag,"Get the full product waiting for a very long time, every good product has a complete product Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product.",Black
🔥 Mini shoulder bag (M-688),5,2019-08-07,Bag,"Get the full product waiting for a very long time, every good product has a complete product Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product. Waiting for the product is not very long, every good product can get a complete product.",Red
