,title,rating,date,categorie,comments,sentiment,aspect_opinion
0,🔥 Mini shoulder bag (M-688),4,2019-05-22,Bag,Give 4 stars because order at the price 37 but today 29 baht sorry,Negative,
1,🔥 Mini shoulder bag (M-688),5,2019-07-18,Bag,Ordered at a discount of 10 baht per piece. It is worth noting that the leaves are very small. Adjustable cable length Suitable for wearing short bags and phones only.,Positive,product: worth; leaves: small; length: Adjustable; product: Suitable; bags: short
2,🔥 Mini shoulder bag (M-688),5,2019-07-02,Bag,"Small, cute, compact, good But the sash looks like a little fragile Have to remind myself that do not put too many things to be sure How to put a sash",Positive,product: Small; product: cute; product: compact; product: good; product: little; things: many
3,🔥 Mini shoulder bag (M-688),1,2018-12-15,Bag,"The size is not as large as it is down. The stitching was wrong. The bag line is contemplated. No, why are you like this? Lost 8 orders",Negative,size: not large; stitching: wrong
4,🔥 Mini shoulder bag (M-688),1,2019-07-24,Bag,"The product is compared to the price. Okay. Send it slowly. But the bad thing is that the shop sent the wrong color. And the item was not fully received at the shop Told to return money, not responsible for anything, very bad Do not send your intention to cheat and look back as many unethical victims.",Negative,thing: bad; color: wrong; intention: your
5,🔥 Mini shoulder bag (M-688),4,2019-04-23,Bag,Beautiful work Sewing Good compact Suitable for this price I go to travel or go somewhere. I like it very much.,Positive,work: Beautiful; product: Good; product: compact; product: Suitable
6,🔥 Mini shoulder bag (M-688),4,2019-07-18,Bag,Worth the price ordered When holding the bag Send faster than you think Well wrapped Worth the price Compound mm mm.,Positive,product: Worth
7,🔥 Mini shoulder bag (M-688),5,2019-08-10,Bag,This bag is like a shoulder bag. Colorful shapes But regret it when shipping the stuffing in the bag The line is wrinkled and broken almost the entire line. So I reduced the beauty down a bit. Bought more expensive than the price seen later But overall I like it,Positive,shapes: Colorful; line: entire
8,🔥 Mini shoulder bag (M-688),4,2018-12-19,Bag,"Very nice, but a little crumbling.",Positive,product: nice
9,🔥 Mini shoulder bag (M-688),5,2019-08-13,Bag,"Beautiful, cheap, very worthwhile. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, worth it. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍 👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍👍👍👍👍 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 Beautiful, cheap, very worthwhile 👍👍",Positive,product: Beautiful; product: cheap; product: worthwhile; worth: Beautiful cheap; product: Beautiful; product: cheap; product: worthwhile; product: Beautiful; product: cheap; product: worthwhile; product: Beautiful; product: cheap; product: worthwhile
10,🔥 Mini shoulder bag (M-688),5,2019-08-17,Bag,"A cute seller, very worthwhile. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it. Very worthwhile Very good value, very beautiful. Ordered many times. Use this shop all the time, so cute traders are worth it.",Positive,seller: cute; product: worthwhile; value: worthwhile good; product: beautiful; traders: worth; traders: cute; value: worthwhile good; product: beautiful; traders: worth; traders: cute
